id,created_at,incident_id,ai_priority,assigned_department,nearest_department_location,estimated_fix_time,suggested_solution,traffic_guidance,map_update_json,risk_level,analyzed_at,analysis_status,reviewed_by
1,9/20/2025 23:22,1,Low,MPSJ,MPSJ Depot,2h,Dispatch cleaning crew,Use caution,"{'incident_location': {'lat': 3.0815, 'lng': 101.585}, 'road_closed': False}",Low,9/20/2025 23:24,Completed,Supervisor_Ahmad
2,9/22/2025 2:13,2,Medium,JKR,JKR Depot,8h,"Patch pothole with asphalt, deploy crew",No impact,"{'incident_location': {'lat': 3.078, 'lng': 101.5412}, 'road_closed': False}",Low,9/22/2025 2:15,Completed,AI
3,9/21/2025 3:19,3,Medium,DBKL,DBKL Depot,8h,"Investigate obstruction, remove blockage",Partial closure,"{'incident_location': {'lat': 2.9189, 'lng': 101.6492}, 'road_closed': False}",Low,9/21/2025 3:21,In Review,Supervisor_Ahmad
4,9/21/2025 5:25,4,Critical,DBKL,DBKL Depot,1 day,"Dispatch firetruck, extinguish fire",Redirect traffic,"{'incident_location': {'lat': 2.9189, 'lng': 101.6492}, 'road_closed': True}",Critical,9/21/2025 5:27,Pending,Supervisor_Ahmad
5,9/21/2025 20:37,5,Critical,MBSA,MBSA Depot,8h,Deploy pumps and sandbags,No impact,"{'incident_location': {'lat': 3.1073, 'lng': 101.6356}, 'road_closed': True}",Critical,9/21/2025 20:39,Completed,Supervisor_Ahmad
6,9/21/2025 6:07,6,Low,JKR,JKR Depot,2h,Inspect wiring and fix streetlight,Redirect traffic,"{'incident_location': {'lat': 3.1345, 'lng': 101.686}, 'road_closed': False}",Low,9/21/2025 6:09,Pending,Supervisor_Ahmad
7,9/21/2025 14:04,7,High,PDRM,PDRM Depot,1 day,Dispatch police and ambulance,Use caution,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': True}",High,9/21/2025 14:06,Completed,Supervisor_Ahmad
8,9/21/2025 3:40,8,High,Bomba,Bomba Depot,8h,"Tow damaged vehicles, clear debris",Redirect traffic,"{'incident_location': {'lat': 2.9264, 'lng': 101.6964}, 'road_closed': True}",High,9/21/2025 3:42,In Review,AI
9,9/21/2025 12:01,9,High,PDRM,PDRM Depot,1 day,Dispatch police and ambulance,No impact,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': True}",High,9/21/2025 12:03,Completed,AI
10,9/20/2025 20:27,10,Critical,Bomba,Bomba Depot,1 day,"Dispatch firetruck, extinguish fire",No impact,"{'incident_location': {'lat': 3.0943, 'lng': 101.6444}, 'road_closed': True}",Critical,9/20/2025 20:29,In Review,Supervisor_Jane
11,9/20/2025 22:24,11,Critical,MBSA,MBSA Depot,5h,Close road and set up flood barriers,Partial closure,"{'incident_location': {'lat': 2.9189, 'lng': 101.6492}, 'road_closed': True}",Critical,9/20/2025 22:26,Pending,Supervisor_Ahmad
12,9/22/2025 4:42,12,Critical,JKR,JKR Depot,1 day,Deploy pumps and sandbags,Redirect traffic,"{'incident_location': {'lat': 3.078, 'lng': 101.5412}, 'road_closed': True}",Critical,9/22/2025 4:44,In Review,Supervisor_Jane
13,9/22/2025 7:27,13,Medium,MP Sepang,MP Sepang Depot,8h,"Patch pothole with asphalt, deploy crew",Partial closure,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': False}",Low,9/22/2025 7:29,In Review,Supervisor_Jane
14,9/21/2025 22:23,14,Critical,MBSA,MBSA Depot,8h,Close road and set up flood barriers,Redirect traffic,"{'incident_location': {'lat': 3.078, 'lng': 101.5412}, 'road_closed': True}",Critical,9/21/2025 22:25,Completed,Supervisor_Ahmad
15,9/21/2025 5:19,15,High,PDRM,PDRM Depot,2h,"Tow damaged vehicles, clear debris",Redirect traffic,"{'incident_location': {'lat': 3.158, 'lng': 101.711}, 'road_closed': True}",High,9/21/2025 5:21,In Review,Supervisor_Ahmad
